dtc_number,dtc_name,desc,system,severity,urgency
P2346,Cylinder 11 Above Knock Threshold,'Knocking' has been detected in cylinder 11 of your engine. This will require investigation and diagnostics by a mechanic. This problem may cause permanent engine damage if not resolved. ,IGNITION / STARTING / ELECTRICITY,3,2
P2347,Cylinder 12 Above Knock Threshold,'Knocking' has been detected in cylinder 12 of your engine. This will require investigation and diagnostics by a mechanic. This problem may cause permanent engine damage if not resolved. ,IGNITION / STARTING / ELECTRICITY,3,2
P2337,Cylinder 2 Above Knock Threshold,'Knocking' has been detected in cylinder 2 of your engine. This will require investigation and diagnostics by a mechanic. This problem may cause permanent engine damage if not resolved. ,IGNITION / STARTING / ELECTRICITY,3,2
P2338,Cylinder 3 Above Knock Threshold,'Knocking' has been detected in cylinder 3 of your engine. This will require investigation and diagnostics by a mechanic. This problem may cause permanent engine damage if not resolved. ,IGNITION / STARTING / ELECTRICITY,3,2
P2339,Cylinder 4 Above Knock Threshold,'Knocking' has been detected in cylinder 4 of your engine. This will require investigation and diagnostics by a mechanic. This problem may cause permanent engine damage if not resolved. ,IGNITION / STARTING / ELECTRICITY,3,2
P2340,Cylinder 5 Above Knock Threshold,'Knocking' has been detected in cylinder 5 of your engine. This will require investigation and diagnostics by a mechanic. This problem may cause permanent engine damage if not resolved. ,IGNITION / STARTING / ELECTRICITY,3,2
P2341,Cylinder 6 Above Knock Threshold,'Knocking' has been detected in cylinder 6 of your engine. This will require investigation and diagnostics by a mechanic. This problem may cause permanent engine damage if not resolved. ,IGNITION / STARTING / ELECTRICITY,3,2
P2342,Cylinder 7 Above Knock Threshold,'Knocking' has been detected in cylinder 7 of your engine. This will require investigation and diagnostics by a mechanic. This problem may cause permanent engine damage if not resolved. ,IGNITION / STARTING / ELECTRICITY,3,2
P2343,Cylinder 8 Above Knock Threshold,'Knocking' has been detected in cylinder 8 of your engine. This will require investigation and diagnostics by a mechanic. This problem may cause permanent engine damage if not resolved. ,IGNITION / STARTING / ELECTRICITY,3,2
P2344,Cylinder 9 Above Knock Threshold,'Knocking' has been detected in cylinder 9 of your engine. This will require investigation and diagnostics by a mechanic. This problem may cause permanent engine damage if not resolved. ,IGNITION / STARTING / ELECTRICITY,3,2
P0325,Knock Sensor 1 Circuit Bank 1 or Single Sensor,A fault has been detected with one of your engine's 'knock' sensors. This generally requires that the sensor be replaced. This problem can cause significant engine performance issues.,IGNITION / STARTING / ELECTRICITY,3,2
P0326,Knock Sensor 1 Circuit Range/Performance Bank 1 or Single Sensor,A fault has been detected with one of your engine's 'knock' sensors. This generally requires that the sensor be replaced. This problem can cause significant engine performance issues.,IGNITION / STARTING / ELECTRICITY,3,2
P0327,Knock Sensor 1 Circuit Low Bank 1 or Single Sensor,A fault has been detected with one of your engine's 'knock' sensors. This generally requires that the sensor be replaced. This problem can cause significant engine performance issues.,IGNITION / STARTING / ELECTRICITY,3,2
P0328,Knock Sensor 1 Circuit High Bank 1 or Single Sensor,A fault has been detected with one of your engine's 'knock' sensors. This generally requires that the sensor be replaced. This problem can cause significant engine performance issues.,IGNITION / STARTING / ELECTRICITY,3,2
P0329,Knock Sensor 1 Circuit Intermittent Bank 1 or Single Sensor,A fault has been detected with one of your engine's 'knock' sensors. This generally requires that the sensor be replaced. This problem can cause significant engine performance issues.,IGNITION / STARTING / ELECTRICITY,3,2
P032A,Knock Sensor 2 Circuit Bank 3,A fault has been detected with one of your engine's 'knock' sensors. This generally requires that the sensor be replaced. This problem can cause significant engine performance issues.,IGNITION / STARTING / ELECTRICITY,3,2
P032B,Knock Sensor 2 Circuit Range/Performance Bank 3,A fault has been detected with one of your engine's 'knock' sensors. This generally requires that the sensor be replaced. This problem can cause significant engine performance issues.,IGNITION / STARTING / ELECTRICITY,3,2
P032C,Knock Sensor 2 Circuit Low Bank 3,A fault has been detected with one of your engine's 'knock' sensors. This generally requires that the sensor be replaced. This problem can cause significant engine performance issues.,IGNITION / STARTING / ELECTRICITY,3,2
P032D,Knock Sensor 2 Circuit High Bank 3,A fault has been detected with one of your engine's 'knock' sensors. This generally requires that the sensor be replaced. This problem can cause significant engine performance issues.,IGNITION / STARTING / ELECTRICITY,3,2
P032E,Knock Sensor 2 Circuit Intermittent Bank 3,A fault has been detected with one of your engine's 'knock' sensors. This generally requires that the sensor be replaced. This problem can cause significant engine performance issues.,IGNITION / STARTING / ELECTRICITY,3,2
P0330,Knock Sensor 2 Circuit Bank 2,A fault has been detected with one of your engine's 'knock' sensors. This generally requires that the sensor be replaced. This problem can cause significant engine performance issues.,IGNITION / STARTING / ELECTRICITY,3,2
P0331,Knock Sensor 2 Circuit Range/Performance Bank 2,A fault has been detected with one of your engine's 'knock' sensors. This generally requires that the sensor be replaced. This problem can cause significant engine performance issues.,IGNITION / STARTING / ELECTRICITY,3,2
P0332,Knock Sensor 2 Circuit Low Bank 2,A fault has been detected with one of your engine's 'knock' sensors. This generally requires that the sensor be replaced. This problem can cause significant engine performance issues.,IGNITION / STARTING / ELECTRICITY,3,2
P0333,Knock Sensor 2 Circuit High Bank 2,A fault has been detected with one of your engine's 'knock' sensors. This generally requires that the sensor be replaced. This problem can cause significant engine performance issues.,IGNITION / STARTING / ELECTRICITY,3,2
P0334,Knock Sensor 2 Circuit Intermittent Bank 2,A fault has been detected with one of your engine's 'knock' sensors. This generally requires that the sensor be replaced. This problem can cause significant engine performance issues.,IGNITION / STARTING / ELECTRICITY,3,2
P033A,Knock Sensor 4 Circuit Bank 2,A fault has been detected with one of your engine's 'knock' sensors. This generally requires that the sensor be replaced. This problem can cause significant engine performance issues.,IGNITION / STARTING / ELECTRICITY,3,2
P033B,Knock Sensor 4 Circuit Range/Performance Bank 2,A fault has been detected with one of your engine's 'knock' sensors. This generally requires that the sensor be replaced. This problem can cause significant engine performance issues.,IGNITION / STARTING / ELECTRICITY,3,2
P033C,Knock Sensor 4 Circuit Low Bank 2,A fault has been detected with one of your engine's 'knock' sensors. This generally requires that the sensor be replaced. This problem can cause significant engine performance issues.,IGNITION / STARTING / ELECTRICITY,3,2
P033D,Knock Sensor 4 Circuit High Bank 2,A fault has been detected with one of your engine's 'knock' sensors. This generally requires that the sensor be replaced. This problem can cause significant engine performance issues.,IGNITION / STARTING / ELECTRICITY,3,2
P033E,Knock Sensor 4 Circuit Intermittent Bank 3,A fault has been detected with one of your engine's 'knock' sensors. This generally requires that the sensor be replaced. This problem can cause significant engine performance issues.,IGNITION / STARTING / ELECTRICITY,3,2
P0324,Knock Control System Error,A fault has been detected with your engine's 'knock' sensor system. This may require the system be serviced or replaced. This problem can cause significant engine performance issues.,IGNITION / STARTING / ELECTRICITY,2,1
P0340,"Camshaft Position Sensor ""A"" Circuit Bank 1 or Single Sensor",A fault has been detected with your engine's camshaft position sensor. This may require the sensor to be replaced. This problem can cause significant performance issues and may prevent your engine from starting.,IGNITION / STARTING / ELECTRICITY,2,1
P0341,"Camshaft Position Sensor ""A"" Circuit Range/Performance Bank 1 or Single Sensor",A fault has been detected with your engine's camshaft position sensor. This may require the sensor to be replaced. This problem can cause significant performance issues and may prevent your engine from starting.,IGNITION / STARTING / ELECTRICITY,2,1
P0342,"Camshaft Position Sensor ""A"" Circuit Low Bank 1 or Single Sensor",A fault has been detected with your engine's camshaft position sensor. This may require the sensor to be replaced. This problem can cause significant performance issues and may prevent your engine from starting.,IGNITION / STARTING / ELECTRICITY,2,1
P0343,"Camshaft Position Sensor ""A"" Circuit High Bank 1 or Single Sensor",A fault has been detected with your engine's camshaft position sensor. This may require the sensor to be replaced. This problem can cause significant performance issues and may prevent your engine from starting.,IGNITION / STARTING / ELECTRICITY,2,1
P0344,"Camshaft Position Sensor ""A"" Circuit Intermittent Bank 1 or Single Sensor",A fault has been detected with your engine's camshaft position sensor. This may require the sensor to be replaced. This problem can cause significant performance issues and may prevent your engine from starting.,IGNITION / STARTING / ELECTRICITY,2,1
P0345,"Camshaft Position Sensor ""A"" Circuit Bank 2",A fault has been detected with your engine's camshaft position sensor. This may require the sensor to be replaced. This problem can cause significant performance issues and may prevent your engine from starting.,IGNITION / STARTING / ELECTRICITY,2,1
P0346,"Camshaft Position Sensor ""A"" Circuit Range/Performance Bank 2",A fault has been detected with your engine's camshaft position sensor. This may require the sensor to be replaced. This problem can cause significant performance issues and may prevent your engine from starting.,IGNITION / STARTING / ELECTRICITY,2,1
P0347,"Camshaft Position Sensor ""A"" Circuit Low Bank 2",A fault has been detected with your engine's camshaft position sensor. This may require the sensor to be replaced. This problem can cause significant performance issues and may prevent your engine from starting.,IGNITION / STARTING / ELECTRICITY,2,1
P0348,"Camshaft Position Sensor ""A"" Circuit High Bank 2",A fault has been detected with your engine's camshaft position sensor. This may require the sensor to be replaced. This problem can cause significant performance issues and may prevent your engine from starting.,IGNITION / STARTING / ELECTRICITY,2,1
P0349,"Camshaft Position Sensor ""A"" Circuit Intermittent Bank 2",A fault has been detected with your engine's camshaft position sensor. This may require the sensor to be replaced. This problem can cause significant performance issues and may prevent your engine from starting.,IGNITION / STARTING / ELECTRICITY,2,1
P0365,"Camshaft Position Sensor ""B"" Circuit Bank 1",A fault has been detected with your engine's camshaft position sensor. This may require the sensor to be replaced. This problem can cause significant performance issues and may prevent your engine from starting.,IGNITION / STARTING / ELECTRICITY,2,1
P0366,"Camshaft Position Sensor ""B"" Circuit Range/Performance Bank 1",A fault has been detected with your engine's camshaft position sensor. This may require the sensor to be replaced. This problem can cause significant performance issues and may prevent your engine from starting.,IGNITION / STARTING / ELECTRICITY,2,1
P0367,"Camshaft Position Sensor ""B"" Circuit Low Bank 1",A fault has been detected with your engine's camshaft position sensor. This may require the sensor to be replaced. This problem can cause significant performance issues and may prevent your engine from starting.,IGNITION / STARTING / ELECTRICITY,2,1
P0368,"Camshaft Position Sensor ""B"" Circuit High Bank 1",A fault has been detected with your engine's camshaft position sensor. This may require the sensor to be replaced. This problem can cause significant performance issues and may prevent your engine from starting.,IGNITION / STARTING / ELECTRICITY,2,1
P0369,"Camshaft Position Sensor ""B"" Circuit Intermittent Bank 1",A fault has been detected with your engine's camshaft position sensor. This may require the sensor to be replaced. This problem can cause significant performance issues and may prevent your engine from starting.,IGNITION / STARTING / ELECTRICITY,2,1
P0390,"Camshaft Position Sensor ""B"" Circuit Bank 2",A fault has been detected with your engine's camshaft position sensor. This may require the sensor to be replaced. This problem can cause significant performance issues and may prevent your engine from starting.,IGNITION / STARTING / ELECTRICITY,2,1
P0391,"Camshaft Position Sensor ""B"" Circuit Range/Performance Bank 2",A fault has been detected with your engine's camshaft position sensor. This may require the sensor to be replaced. This problem can cause significant performance issues and may prevent your engine from starting.,IGNITION / STARTING / ELECTRICITY,2,1
P0392,"Camshaft Position Sensor ""B"" Circuit Low Bank 2",A fault has been detected with your engine's camshaft position sensor. This may require the sensor to be replaced. This problem can cause significant performance issues and may prevent your engine from starting.,IGNITION / STARTING / ELECTRICITY,2,1
P0393,"Camshaft Position Sensor ""B"" Circuit High Bank 2",A fault has been detected with your engine's camshaft position sensor. This may require the sensor to be replaced. This problem can cause significant performance issues and may prevent your engine from starting.,IGNITION / STARTING / ELECTRICITY,2,1
P0394,"Camshaft Position Sensor ""B"" Circuit Intermittent Bank 2",A fault has been detected with your engine's camshaft position sensor. This may require the sensor to be replaced. This problem can cause significant performance issues and may prevent your engine from starting.,IGNITION / STARTING / ELECTRICITY,2,1
P0339,"Crankshaft Position Sensor ""A"" Circuit Intermittent",A fault has been detected with your engine's crankshaft position sensor. This may require the sensor to be replaced. This problem can cause significant engine performance issues.,IGNITION / STARTING / ELECTRICITY,2,1
P0315,Crankshaft Position System Variation Not Learned,A fault has been detected with your engine's crankshaft position sensor. This may require the sensor to be replaced. This problem can cause significant performance issues and may prevent your engine from starting.,IGNITION / STARTING / ELECTRICITY,2,1
P0335,"Crankshaft Position Sensor ""A"" Circuit",A fault has been detected with your engine's crankshaft position sensor. This may require the sensor to be replaced. This problem can cause significant performance issues and may prevent your engine from starting.,IGNITION / STARTING / ELECTRICITY,2,1
P0336,"Crankshaft Position Sensor ""A"" Circuit Range/Performance",A fault has been detected with your engine's crankshaft position sensor. This may require the sensor to be replaced. This problem can cause significant performance issues and may prevent your engine from starting.,IGNITION / STARTING / ELECTRICITY,2,1
P0337,"Crankshaft Position Sensor ""A"" Circuit Low",A fault has been detected with your engine's crankshaft position sensor. This may require the sensor to be replaced. This problem can cause significant performance issues and may prevent your engine from starting.,IGNITION / STARTING / ELECTRICITY,2,1
P0338,"Crankshaft Position Sensor ""A"" Circuit High",A fault has been detected with your engine's crankshaft position sensor. This may require the sensor to be replaced. This problem can cause significant performance issues and may prevent your engine from starting.,IGNITION / STARTING / ELECTRICITY,2,1
P0385,"Crankshaft Position Sensor ""B"" Circuit",A fault has been detected with your engine's crankshaft position sensor. This may require the sensor to be replaced. This problem can cause significant performance issues and may prevent your engine from starting.,IGNITION / STARTING / ELECTRICITY,2,1
P0386,"Crankshaft Position Sensor ""B"" Circuit Range/Performance",A fault has been detected with your engine's crankshaft position sensor. This may require the sensor to be replaced. This problem can cause significant performance issues and may prevent your engine from starting.,IGNITION / STARTING / ELECTRICITY,2,1
P0387,"Crankshaft Position Sensor ""B"" Circuit Low",A fault has been detected with your engine's crankshaft position sensor. This may require the sensor to be replaced. This problem can cause significant performance issues and may prevent your engine from starting.,IGNITION / STARTING / ELECTRICITY,2,1
P0388,"Crankshaft Position Sensor ""B"" Circuit High",A fault has been detected with your engine's crankshaft position sensor. This may require the sensor to be replaced. This problem can cause significant performance issues and may prevent your engine from starting.,IGNITION / STARTING / ELECTRICITY,2,1
P0389,"Crankshaft Position Sensor ""B"" Circuit Intermittent",A fault has been detected with your engine's crankshaft position sensor. This may require the sensor to be replaced. This problem can cause significant performance issues and may prevent your engine from starting.,IGNITION / STARTING / ELECTRICITY,2,1
P06B6,Internal Control Module Knock Sensor Processor 1 Performance,A problem has been detected with your engine's knock sensor processing unit. This will require investigation and diagnostics by a mechanic. This problem may reduce engine performance. ,IGNITION / STARTING / ELECTRICITY,4,2
P06B7,Internal Control Module Knock Sensor Processor 2 Performance,A problem has been detected with your engine's knock sensor processing unit. This will require investigation and diagnostics by a mechanic. This problem may reduce engine performance. ,IGNITION / STARTING / ELECTRICITY,4,2
P0016,Crankshaft Position - Camshaft Position Correlation Bank 1 Sensor A,Your engine's crankshaft and camshaft are out of synchronisation. This will require investigation and diagnostics by a mechanic. This problem can cause significantly reduced performance and lead to engine failure.,IGNITION / STARTING / ELECTRICITY,2,2
P0017,Crankshaft Position - Camshaft Position Correlation Bank 1 Sensor B,Your engine's crankshaft and camshaft are out of synchronisation. This will require investigation and diagnostics by a mechanic. This problem can cause significantly reduced performance and lead to engine failure.,IGNITION / STARTING / ELECTRICITY,2,2
P0018,Crankshaft Position - Camshaft Position Correlation Bank 2 Sensor A,Your engine's crankshaft and camshaft are out of synchronisation. This will require investigation and diagnostics by a mechanic. This problem can cause significantly reduced performance and lead to engine failure.,IGNITION / STARTING / ELECTRICITY,2,2
P0019,Crankshaft Position - Camshaft Position Correlation Bank 2 Sensor B,Your engine's crankshaft and camshaft are out of synchronisation. This will require investigation and diagnostics by a mechanic. This problem can cause significantly reduced performance and lead to engine failure.,IGNITION / STARTING / ELECTRICITY,2,2
P0011,"""A"" Camshaft Position - Timing Over-Advanced or System Performance Bank 1",A problem has been detected with your engine's camshaft timing actuator. This will require investigation and diagnostics by a mechanic. This problem can cause significantly reduced performance and may cause starting difficulties.,OTHERS,3,2
P0012,"""A"" Camshaft Position - Timing Over-Retarded Bank 1",A problem has been detected with your engine's camshaft timing actuator. This will require investigation and diagnostics by a mechanic. This problem can cause significantly reduced performance and may cause starting difficulties.,OTHERS,3,2
P0014,"""B"" Camshaft Position - Timing Over-Advanced or System Performance Bank 1",A problem has been detected with your engine's camshaft timing actuator. This will require investigation and diagnostics by a mechanic. This problem can cause significantly reduced performance and may cause starting difficulties.,OTHERS,3,2
P0015,"""B"" Camshaft Position - Timing Over-Retarded Bank 1",A problem has been detected with your engine's camshaft timing actuator. This will require investigation and diagnostics by a mechanic. This problem can cause significantly reduced performance and may cause starting difficulties.,OTHERS,3,2
P0021,"""A"" Camshaft Position - Timing Over-Advanced or System Performance Bank 2",A problem has been detected with your engine's camshaft timing actuator. This will require investigation and diagnostics by a mechanic. This problem can cause significantly reduced performance and may cause starting difficulties.,OTHERS,3,2
P0022,"""A"" Camshaft Position - Timing Over-Retarded Bank 2",A problem has been detected with your engine's camshaft timing actuator. This will require investigation and diagnostics by a mechanic. This problem can cause significantly reduced performance and may cause starting difficulties.,OTHERS,3,2
P0024,"""B"" Camshaft Position - Timing Over-Advanced or System Performance Bank 2",A problem has been detected with your engine's camshaft timing actuator. This will require investigation and diagnostics by a mechanic. This problem can cause significantly reduced performance and may cause starting difficulties.,OTHERS,3,2
P0025,"""B"" Camshaft Position - Timing Over-Retarded Bank 2",A problem has been detected with your engine's camshaft timing actuator. This will require investigation and diagnostics by a mechanic. This problem can cause significantly reduced performance and may cause starting difficulties.,OTHERS,3,2
P0010,"""A"" Camshaft Position Actuator Circuit / Open Bank 1",A problem has been detected with your engine's camshaft timing actuator. This will require investigation and diagnostics by a mechanic. This problem can cause significantly reduced performance.,OTHERS,3,2
P0013,"""B"" Camshaft Position - Actuator Circuit / Open Bank 1",A problem has been detected with your engine's camshaft timing actuator. This will require investigation and diagnostics by a mechanic. This problem can cause significantly reduced performance.,OTHERS,3,2
P0020,"""A"" Camshaft Position Actuator Circuit / Open Bank 2",A problem has been detected with your engine's camshaft timing actuator. This will require investigation and diagnostics by a mechanic. This problem can cause significantly reduced performance.,OTHERS,3,2
P0023,"""B"" Camshaft Position - Actuator Circuit / Open Bank 2",A problem has been detected with your engine's camshaft timing actuator. This will require investigation and diagnostics by a mechanic. This problem can cause significantly reduced performance.,OTHERS,3,2
P0095,Intake Air Temperature Sensor 2 Circuit,A problem has been detected with your engine's intake air temperature sensor. If this problem persists the sensor may need to be replaced. There may be no obvious symtoms associated with this problem.,OTHERS,4,4
P0096,Intake Air Temperature Sensor 2 Circuit Range/Performance,A problem has been detected with your engine's intake air temperature sensor. If this problem persists the sensor may need to be replaced. There may be no obvious symtoms associated with this problem.,OTHERS,4,4
P0097,Intake Air Temperature Sensor 2 Circuit Low,A problem has been detected with your engine's intake air temperature sensor. If this problem persists the sensor may need to be replaced. There may be no obvious symtoms associated with this problem.,OTHERS,4,4
P0098,Intake Air Temperature Sensor 2 Circuit High,A problem has been detected with your engine's intake air temperature sensor. If this problem persists the sensor may need to be replaced. There may be no obvious symtoms associated with this problem.,OTHERS,4,4
P0099,Intake Air Temperature Sensor 2 Circuit Intermittent/Erratic,A problem has been detected with your engine's intake air temperature sensor. If this problem persists the sensor may need to be replaced. There may be no obvious symtoms associated with this problem.,OTHERS,4,4
P0110,Intake Air Temperature Sensor 1 Circuit,A problem has been detected with your engine's intake air temperature sensor. If this problem persists the sensor may need to be replaced. There may be no obvious symtoms associated with this problem.,OTHERS,4,4
P0111,Intake Air Temperature Sensor 1 Circuit Range/Performance,A problem has been detected with your engine's intake air temperature sensor. If this problem persists the sensor may need to be replaced. There may be no obvious symtoms associated with this problem.,OTHERS,4,4
P0112,Intake Air Temperature Sensor 1 Circuit Low,A problem has been detected with your engine's intake air temperature sensor. If this problem persists the sensor may need to be replaced. There may be no obvious symtoms associated with this problem.,OTHERS,4,4
P0113,Intake Air Temperature Sensor 1 Circuit High,A problem has been detected with your engine's intake air temperature sensor. If this problem persists the sensor may need to be replaced. There may be no obvious symtoms associated with this problem.,OTHERS,4,4
P0114,Intake Air Temperature Sensor 1 Circuit Intermittent,A problem has been detected with your engine's intake air temperature sensor. If this problem persists the sensor may need to be replaced. There may be no obvious symtoms associated with this problem.,OTHERS,4,4
P049C,"Exhaust Gas Recirculation ""B"" Excessive Flow Detected",Excessive exhaust gas recirculation flow has been detected in your engine. This is usually caused by air leaks within the engine. This problem can cause excessive emissions.,OTHERS,3,2
P0513,Incorrect Immobilizer Key,A problem has been detected with your car's immobilizer key. This will require investigation and diagnostics by a mechanic. This problem may prevent the engine from starting. ,STARTER,2,1
P0817,Starter Disable Circuit/Open,A problem has been detected with your car's starter motor. This will require investigation and diagnostics by a mechanic. Permanent damage may occur if this issue is not resolved.,STARTER,2,1
P0512,Starter Request Circuit,A problem has been detected with your engine's starter request circuit. This will require investigation and diagnostics by a mechanic. This problem may cause starting difficulties.,STARTER,2,1
P0625,Generator Field/F Terminal Circuit Low,An issue has been detected with your car's generator. This will require investigation and diagnostics by a mechanic. This problem may lead to a dead battery.,STARTER,2,1
P0626,Generator Field/F Terminal Circuit High,An issue has been detected with your car's generator. This will require investigation and diagnostics by a mechanic. This problem may lead to a dead battery.,STARTER,2,1
P063B,Generator Voltage Sense Circuit Range/Performance,An issue has been detected with your car's generator. This will require investigation and diagnostics by a mechanic. This problem may lead to a dead battery.,STARTER,3,2
P063C,Generator Voltage Sense Circuit Low,An issue has been detected with your car's generator. This will require investigation and diagnostics by a mechanic. This problem may lead to a dead battery.,STARTER,3,2
P063D,Generator Voltage Sense Circuit High,An issue has been detected with your car's generator. This will require investigation and diagnostics by a mechanic. This problem may lead to a dead battery.,STARTER,3,2
P0620,Generator Control Circuit,An issue has been detected with your car's generator. This will require investigation and diagnostics by a mechanic. This problem may lead to a dead battery.,STARTER,2,1
P0621,Generator Lamp/L Terminal Circuit,An issue has been detected with your car's generator. This will require investigation and diagnostics by a mechanic. This problem may lead to a dead battery.,STARTER,3,2
P0622,Generator Field/F Terminal Circuit,An issue has been detected with your car's generator. This will require investigation and diagnostics by a mechanic. This problem may lead to a dead battery.,STARTER,3,2
P0623,Generator Lamp Control Circuit,An issue has been detected with your car's generator. This will require investigation and diagnostics by a mechanic. This problem may lead to a dead battery.,STARTER,3,2
P063A,Generator Voltage Sense Circuit,An issue has been detected with your car's generator. This will require investigation and diagnostics by a mechanic. This problem may lead to a dead battery.,STARTER,3,2
C0083,Tire Pressure Monitor Malfunction Indicator (Subfault),"A fault has been detected with your tyre pressure monitoring system. Stop, check your tyre pressure and contact your mechanic.",TYRES,2,2
C0077,Low Tire Pressure (Subfault),Low tyre pressure has been detected on one or more tyres. Stop and check your tyre pressure.,TYRES,2,2
